user_id,date,last_touch_marketing_channel
0004-4463-UQWB,8/19/17,Organic Search
0004-9775-ESNN,9/27/17,Organic Search
0020-7591-SLPS,7/2/17,Organic Search
0021-8775-POBI,11/30/17,Push
0065-0703-DCRJ,9/19/17,Paid Social
0066-9825-HTQO,7/10/17,Email
0070-1686-CVNA,11/14/17,Email
0072-1531-MPTW,11/7/17,Email
0076-0073-XGAZ,11/25/17,Email
0101-8359-JGBS,11/12/17,Direct Load
0108-6035-XFCH,10/25/17,Email
0125-3507-WQWZ,11/28/17,Organic Search
0131-1193-XAXP,9/3/17,Email
0134-3691-BLOB,10/26/17,Push
0147-2156-NZXE,10/15/17,Organic Search
0152-6564-DQIN,11/1/17,Organic Search
0174-0259-ZFWT,7/11/17,Direct Load
0181-0367-FBZL,11/11/17,Email
0204-1034-OIAL,9/27/17,Direct Load
0208-9081-OJVL,11/26/17,Push
0219-8403-MKFS,8/27/17,Email
0222-3040-YXGR,8/15/17,Email
0226-4155-WEBU,10/22/17,Organic Search
0232-0399-HXCZ,11/11/17,Organic Search
0241-8979-RDLR,11/29/17,Organic Search
0244-0035-TZXK,11/11/17,Organic Search
0254-2715-PGOT,12/11/17,Organic Search
0267-6008-NOFJ,10/15/17,Email
0269-5414-FXVG,12/17/17,Direct Load
0279-5099-APHR,9/23/17,Organic Search
0296-0933-GAHB,12/5/17,Organic Search
0297-5839-RHFQ,10/14/17,Email
0309-5656-BSUH,9/29/17,Organic Search
0320-4241-HLZK,11/3/17,Organic Search
0321-4248-UZSG,7/4/17,Email
0323-1867-TEQI,10/9/17,Organic Search
0325-2669-IGUR,11/26/17,Paid Social
0326-5618-HSAT,11/14/17,Email
0336-9478-GKSQ,11/30/17,Direct Load
0337-5614-DTUZ,12/1/17,Push
0345-3493-QDHZ,8/29/17,Email
0350-0953-QHUP,9/21/17,Organic Search
0363-4126-UOUE,12/20/17,Organic Search
0366-5159-NERA,12/18/17,Organic Search
0369-5433-ELFC,8/2/17,Direct Load
0373-0250-XEYB,7/26/17,Organic Search
0376-4032-MJTH,12/30/17,Organic Search
0381-4221-QQUT,9/19/17,Push
0388-7354-PBRR,11/27/17,Push
0397-2247-TKFP,10/25/17,Direct Load
0413-1207-YDPM,9/20/17,Email
0418-3546-DIQP,12/9/17,Organic Search
0419-1146-VVXD,7/27/17,Push
0442-1381-CTWZ,8/8/17,Push
0442-6998-BUEA,11/16/17,Email
0456-3974-BSNA,7/17/17,Organic Search
0457-3373-OCUB,10/4/17,Paid Social
0463-6817-SYER,12/10/17,Push
0480-8077-DPVR,12/23/17,Email
0489-6818-LHMG,9/20/17,Organic Search
0494-1857-PILS,11/8/17,Email
0505-1534-JXEN,11/1/17,Organic Search
0505-8336-LEEX,11/26/17,Paid Social
0511-2901-AYYR,11/7/17,Organic Search
0511-8749-ODRJ,11/27/17,Push
0512-9363-DZRU,8/30/17,Organic Search
0526-0953-LERF,12/9/17,Push
0528-7358-OGZI,11/19/17,Organic Search
0530-3869-RTEQ,12/16/17,Email
0545-6030-UFSM,9/29/17,Display
0559-1230-OPZP,11/25/17,Push
0560-2461-FQMQ,8/14/17,Email
0562-7442-RMLB,7/19/17,Organic Search
0578-9345-MVSO,12/21/17,Push
0585-7304-YWFZ,9/1/17,Email
0587-1170-LTZZ,11/26/17,Email
0587-8671-JWJR,8/15/17,Organic Search
0588-0104-NZSS,10/10/17,Email
0592-4768-GWOR,12/8/17,Organic Search
0603-1149-PBLP,11/9/17,Email
0609-1906-REBW,11/12/17,Email
0621-9016-XYUT,9/15/17,Push
0623-3339-GPVJ,12/3/17,Paid Social
0624-3933-XZML,12/30/17,Push
0641-8964-LIVA,11/19/17,Organic Search
0642-6827-HMAB,12/28/17,Organic Search
0644-9053-EHYB,11/24/17,Organic Search
0647-3279-ZBBK,8/26/17,Push
0652-6789-LOPL,7/3/17,Push
0660-6958-DQNB,9/21/17,Push
0667-3779-FBQX,10/9/17,Organic Search
0673-0692-CDCR,11/19/17,Organic Search
0673-8892-ZRUV,9/23/17,Direct Load
0697-9296-OWUQ,11/4/17,Paid Social
0710-3183-WXLD,12/5/17,Push
0714-4486-VFWH,11/24/17,Organic Search
0729-8343-DRUP,10/29/17,Paid Social
0736-5615-SDRM,9/23/17,Email
0737-4201-DHMN,8/19/17,Organic Search
0748-5930-SDRQ,10/19/17,Organic Search
0749-9818-FXRJ,10/16/17,Organic Search
0756-1102-ZVQH,11/16/17,Paid Social
0756-6197-VWZS,11/29/17,Paid Social
0769-8891-BAZL,10/10/17,Paid Social
0787-8096-MTGL,7/22/17,Organic Search
0789-5263-QBGR,7/23/17,Push
0793-2735-MUOJ,11/2/17,Push
0802-0943-FBMM,8/19/17,Organic Search
0809-1760-NGPJ,7/9/17,Organic Search
0809-7033-REDY,11/9/17,Push
0815-9443-WAKD,7/23/17,Paid Social
0818-6501-ZCWS,9/12/17,Paid Social
0828-2508-LBEN,12/29/17,Direct Load
0831-9722-FYNW,11/21/17,Organic Search
0838-5770-ZLBK,8/27/17,Organic Search
0842-1288-HHHB,9/19/17,Organic Search
0842-5009-JZNJ,10/23/17,Email
0845-9664-JDAT,12/5/17,Paid Social
0848-7423-DSGD,8/11/17,Organic Search
0853-3510-OYQL,12/13/17,Push
0856-8087-GQDU,9/2/17,Paid Social
0880-7778-DCUL,12/13/17,Push
0880-9711-IWNH,7/27/17,Email
0881-7090-CNXB,11/22/17,Push
0882-4848-FUPM,12/29/17,Direct Load
0888-5845-GMHL,9/6/17,Paid Social
0892-7419-NWWU,11/27/17,Email
0898-9248-SIIR,8/10/17,Email
0905-3945-EJSI,12/10/17,Direct Load
0905-6307-GFSU,10/9/17,Organic Search
0918-3027-HZXX,7/12/17,Email
0918-3332-GEBN,7/1/17,Email
0919-4560-FECX,9/12/17,Direct Load
0934-3694-DDTS,9/10/17,Paid Social
0935-2332-JZIC,12/10/17,Email
0937-2289-EBXE,11/8/17,Organic Search
0945-2686-JORP,11/27/17,Organic Search
0963-9618-ZFNH,8/29/17,Push
0968-6190-FOPZ,8/16/17,Organic Search
0976-1382-VZHI,7/15/17,Paid Social
0985-2708-NQVU,7/16/17,Push
0988-8067-BKYM,7/12/17,Email
0994-3060-BIIN,11/2/17,Push
1003-1024-ETDF,8/26/17,Organic Search
1009-8077-MRHL,10/3/17,Organic Search
1010-7397-FUWS,7/5/17,Push
1015-7056-SXJC,9/12/17,Organic Search
1023-4266-BZHH,9/27/17,Push
1028-8343-AGQH,12/6/17,Paid Social
1037-2625-ZSRP,11/12/17,Email
1043-8313-TVIM,11/27/17,Organic Search
1048-2011-KDGV,10/24/17,Organic Search
1067-9242-UZUH,10/7/17,Push
1079-2157-SPOC,11/16/17,Organic Search
1090-2169-USUC,11/19/17,Push
1099-3130-OJXZ,7/17/17,Push
1104-4833-ZCEK,7/1/17,Organic Search
1108-9884-CMGQ,8/17/17,Paid Social
1118-6309-XHVB,12/2/17,Push
1121-8239-MRJI,10/15/17,Organic Search
1127-6505-BDCN,11/21/17,Email
1132-9099-VBJO,11/27/17,Push
1137-2381-JWIL,9/6/17,Organic Search
1144-8424-YVNV,7/7/17,Organic Search
1156-0738-DAML,7/10/17,Push
1156-2067-IFNK,8/24/17,Organic Search
1176-7485-YRXK,12/5/17,Paid Social
1183-4515-WKIC,8/7/17,Direct Load
1183-7294-SQRO,8/29/17,Paid Social
